STRIKE,LTP,IV,VOLUME,OI,CHNG IN OI,OptionType,TradeDate,ATM
25800.0,78.6,9.05,3690808.0,133186.0,45785.0,CE,2025-01-14,26000
25850.0,62.7,9.16,1771038.0,45414.0,21365.0,CE,2025-01-14,26000
25900.0,49.25,9.25,2175807.0,82251.0,15517.0,CE,2025-01-14,26000
25950.0,39.0,9.42,1103338.0,43767.0,20633.0,CE,2025-01-14,26000
26000.0,30.65,9.58,2501347.0,196390.0,86727.0,CE,2025-01-14,26000
26050.0,24.1,9.75,829476.0,42595.0,17761.0,CE,2025-01-14,26000
26100.0,18.75,9.91,1069306.0,73587.0,20821.0,CE,2025-01-14,26000
26150.0,14.65,10.09,612792.0,38547.0,11448.0,CE,2025-01-14,26000
26200.0,11.65,10.31,1065207.0,107787.0,38252.0,CE,2025-01-14,26000
25800.0,188.6,10.47,1965778.0,50122.0,5914.0,PE,2025-01-14,26000
25850.0,223.15,10.71,454675.0,8916.0,-133.0,PE,2025-01-14,26000
25900.0,259.05,10.86,449468.0,18986.0,1820.0,PE,2025-01-14,26000
25950.0,298.35,11.14,83593.0,3216.0,-1024.0,PE,2025-01-14,26000
26000.0,340.8,11.56,194345.0,34007.0,-555.0,PE,2025-01-14,26000
26050.0,383.6,11.89,24201.0,3965.0,-130.0,PE,2025-01-14,26000
26100.0,429.0,12.4,24473.0,10872.0,42.0,PE,2025-01-14,26000
26150.0,476.45,13.08,4791.0,2154.0,211.0,PE,2025-01-14,26000
26200.0,522.75,13.55,15356.0,14926.0,-992.0,PE,2025-01-14,26000
